Age	Total number of children	Annual cost of education per child	Distance from school	Gender	Education Decision	Willingness to Sponsor	Incentive for schooling	Access to government universal basic education	Access to secondary education	Access to tertiary education	Parent Highest Education
17	3	4,500	0.8	1	1	1	0	0	1	1	3
34	2	60,000	0.7	1	1	1	0	1	1	1	4
	3	100,000	0.9		1	1	0				2
27	3	50,000	0.7	0	1	1	0	0	1	1	5
	3	60,000	0.9	0	1	1	0	0	1	0	1
16	2	100,000	0.7	0	1	1	0	0	0	0	2
	2	6,000	0.8	1	1	1	0	0	1	1	1
12	2	20,000	0.9	1	1	1	0	0	1	1	3
	3	100,000	0.7	1	1	1	1	1	1	1	5
15	3	50,000	0.9		1	1	0		0		2
20	4	35,000	0.9	1	1	1	0	1	1	1	2
	3	80,000	0.7	0	1	1	0	1	1	1	3
	3	120,000	0.9	1	1	1	0	1	1	1	5
7	3	20,000	55	1	1	1	1	0	1	0	3
25	4	15,000	2	0	0	1	0	0	1	1	1
30	2	35,000	0.9	1	1	0	0	0	1	1	3
	4	120,000	0.9	1	1	1	0	0	1	0	3
	3	170,000	0.8	1	1	0	0	0	1	1	3
	4	40,000	5	1	1	0	1	1	1	1	5
20	4	30,000	0.9	1	1	0	0	0	1	1	1
15	4	25,000	0.8	1	1	1	0	0	1	1	3
14	3	10,000	0.7	1	1	1	0	0	1	1	2
27	2	30,000	0.9	1	1	1	0	1	1	1	2
13	4	100,000	0.7	1	1	1	0	1	1	1	4
22	3	20,000	0.9	1	1	1	0	1	1	1	2
4	4	250000	5	1	1	1	0	0	1	0	1
17	3	90,000	1	1	1	1	0	0	0	1	4
29	2	230,000	1	1	1	0	0	0	0	1	4
7	3	90000	0.8	1	1	1	1	1	1	1	4
32	2	300,000	2	0	1	1	0	0	1	1	5
5	2	20,000	0.9	0	1	1	0	1	1	1	3
	3	10000	0.8	1	1	1	0	0	1	1	3
	3	75000	0.7	1	1	0	0	1	0	1	4
	4	120,000	0.9	1	1	1	0	1	1	1	4
	4	25,000	0.9	1	1	0	0	1	1	1	2
23	3	70,000	1	1	1	1	0	0	1	1	3
	3	40,000	1	1	1	1	0	1	1	1	5
10	4	6,000	1	0	1	1	0	0	1	1	6
	3	10,000	2	1	1	1	0	0	1	1	5
17	4		0	0	1	1	0	0	0	1	6
	4	200,000	2	1	1	1	0	1	1	1	5
25	2	4,500	2	0	1	1	0	0	1	1	3
	2	0	0.9	1	1	1	0	1	1	1	4
30	3	8,000	1	0	1	1	0	0	0	0	5
	3		0.9	0	1	1	0	1	1	1	3
	2	70,000	0.8	1	1	1	0	1	1	1	4
	2	150,000	0.9	1	1	1	0	0	1	1	5
9	2	120,000	0.7	1	0	1	0	1	1	1	3
	4	10,000	0.8	0	1	1	0	0	1	1	4
27	4	70,000	0.9	0	1	1	0	0	1	1	3
	4	15,000	0.9	0	1	1	0	0	0	0	3
	3	250,000	0.8	1	1	1	1	0	0	1	6
27	4	30,000	0.9	1	1	1	0	0	1	1	4
30	5	80,000	1	1	1	1	1	1	1	1	5
10	2	6,000	0.9	1	1	1	1	1	1	1	4
29	3	10,000	1	1	1	1	0	1	1	1	5
	2	0	0.9	1	1	1	1	1	1	1	4
17	4		1	1	1	1	0	0	1	1	5
	3	50,000	1	1	1	1	0	0	1	1	5
9	2	70,000	0.9	1	1	1	1	1	1	1	4
	2	180,000	6	1	1	0	0	0	1	1	1
	2	120,000	80	0	1	1	0	1	1	1	5
24	3	45,000	2	0	1	1	0	0	1	1	3
27	4	20,000	1	0	1	1	0	1	1	1	6
12	3	40,000	0.7	0	1	0	0	0	1	1	1
	3	5,000	0.9	1	1	1	0	1	1	1	4
21	3	30,000	1	0	1	1	0	1	1	1	3
	2				1		0				
	3	30,000	1	1	1	1	0	0	1	1	2
	3	4,500	0.9	0	1	0	0		1	1	1
	2		0.7	1	1	0	0	1	1	1	1
	3		0.9	1	1	1	0	0	0	0	1
18	2	45,000			1	1	0		0	1	1
19	3	35,000	1	1	1	1	0	1	1	1	1
	2			1	1	1	0	0	1	1	1
	2	20,000	1	0	1	1	0	1	1	1	3
20	4		1	1	1	1	0	0	1	1	1
18	3	110,000	0.9	0	1	1	0	1	0	0	6
	4	70,000	1	1	1	1	0	1	1	1	3
27	4	30,000	0.9	1	1	0	0	0	1	1	1
27	4		0.9	1	0	1	0	0	0	0	1
25	4	100000	1	0	1	1	0	1	1	1	3
	4	200,000	0.9	1	1	0	0	1	1	1	4
14	4		1	1	1	1	0	0	0	1	2
30	3	30,000	1	0	1	1	0	1	1	1	5
30	2				1						
15	3		0.9	1	1	1	1	1	1	1	4
	4		0.7	1	1	0	0	1	1	1	4
15	2		0.7	1	1	1	1	1	1	0	5
15	3	85000	0.9	0	1	0	1	1	1	1	5
25	2		1	1	1	0	1	1	1	1	4
6	3	5000	2	1	1	1	0	1	1	0	2
25	2	120,000	1	1	1	1	0	0	0	1	5
	2	4500	1	1	1	1	0	1	1	1	3
	3	10000	1	0	1	1	0	1	0	0	5
	3	35,000			1	1	1				
20	4		2	1	1	1	1	1	1	1	4
15	3	2000	0.8	0	1	1	1	1	1	1	3
18	3				1		0				
5	3				1		0				
20	3	9,000	0.9	0	1	0	1	1	1	1	3
20	3	10000	1	1	1	1	0	0	1	1	3
20	2	10000	1		1	1	0		0		
16	3	40000	1	1	1	1	0	0	1	1	3
16	3	8,000			1	1	0		0		
21	2	35000	0.9	0	0	1	0	1	1	1	3
15	3		0.8	1	1	1	0	0	1	1	1
13	3	65,000	0.8	1	1	1	0	0	1	1	5
18	3				1						
14	4	40,000	0.9	1	1	1	1	1	1	1	5
19	4	10,000	1	1	1	1	0	1	1	1	5
20	2				1	1					
	2	75,000	1	1	1	0	0	0	0	1	1
	3	230000	1	1	1	1	0	1	1	1	5
18	2				1						
5	3				1						
	3				1						
	4	10000	0.9	1	1	0	0	0	1	1	2
29	5				1					0	
25	2		0.9	0	1	1	0	0	1	1	2
	3	1000	0.8	0	1	1	1	1	1	1	4
	2	30000	0.9		1	1	0		0	1	
